"","X","Site_Name","Site_ID","Section","Month","Type","Date","Interaction_recorded..Y.N.","SpecimenCaught","UniqueID","EntryOrder","Day","Month.1","Year","Week","SampleDate","Surveyor","HabitatType","Survey","Site","HabitatType.Survey.Site","ITMx","ITMy","WGS84.ETRS89","WGS84.ETRS89.1","PlantSpecies","FlowerVisitorSpecies","Pollinator_caught","VisitorGroup","Genus","Sex","VisitationFrequency","FlowerAbundancePerPlantSpecies","MaxFlowerSize.mm.","FloralArea","Introduced.","Visitation.Rate","FlowerAbundanceTotal","TransectTime.mins.","AreaSampledm2","Rate","Groups.of.flower.visitors.registered..All.species..Only.bees..Bees.and.hoverflies..Bees.and.flies..etc.","InsectActivityRecorded..Feeding.or.Both.Feeding.and.F.lying","Site_Section","Site_Section_Month","gradient","gradienttype","groupfactor"
"1062",1062,"Garris/Bal",17,"Pasture(112)","May","Agri","6.5.18","Y","Y",20180744,1503,6,5,18,2,"5.5.18","Cian White","GA1",1,"GB","GA1GB",709612,757559,NA,NA,"Plantago.lanceolata","Melanostoma.mellinum","Y","Syrphid","Melanostoma","M",1,10,40,400,"",0.0025,NA,9,224,24.88888889,"","","Garris/BalPasture(112)","Garris/BalPasture(112)May","Medium","Agri Medium",NA
"1063",1063,"Garris/Bal",17,"Pasture2","May","Agri","6.5.18","Y","N",NA,1505,6,5,18,2,"5.5.18","Cian White","GA1",1,"GB","GA1GB",709612,757559,NA,NA,"Ranunculus.repens","Diptera","O","Diptera",NA,"F",3,50,30,1500,"",0.002,NA,12,500,41.66666667,"","","Garris/BalPasture2","Garris/BalPasture2May","Medium","Agri Medium",NA
"1064",1064,"Garris/Bal",17,"Arable(36)","May","Agri","6.5.18","N",NA,NA,1508,6,5,18,2,"5.5.18","Cian White","BC1",1,"GB","BC1GB",709612,757559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,72,36,"","","Garris/BalArable(36)","Garris/BalArable(36)May","Medium","Agri Medium",NA
"1065",1065,"Garris/Bal",17,"Other.Roads","May","Agri","6.5.18","Y","N",NA,1509,6,5,18,2,"5.5.18","Cian White","GS2",1,"GB","GS2GB",709612,757559,NA,NA,"Anthriscus.sylvestris","Diptera","O","Diptera",NA,"F",1,1260,70,88200,"",1.13e-05,NA,2,40,20,"","","Garris/BalOther.Roads","Garris/BalOther.RoadsMay","Medium","Agri Medium",NA
"1066",1066,"Garris/Bal",17,"Arable1","May","Agri","6.5.18","N",NA,NA,1510,6,5,18,2,"5.5.18","Cian White","BC1",1,"GB","BC1GB",709612,757559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,500,50,"","","Garris/BalArable1","Garris/BalArable1May","Medium","Agri Medium",NA
"1067",1067,"North.Garristown",14,"Pasture1","May","Agri","6.5.18","N",NA,NA,1511,6,5,18,2,"6.5.18","Cian White","GS2",1,"NG","GS2NG",706574,761637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,500,100,"","","North.GarristownPasture1","North.GarristownPasture1May","Low","Agri Low",NA
"1068",1068,"North.Garristown",14,"Pasture2","May","Agri","6.5.18","Y","Y",20180745,1512,6,5,18,2,"6.5.18","Cian White","GA1",1,"NG","GA1NG",706574,761637,NA,NA,"Taraxacum.agg","Andrena.haemorrhea","Y","Solitary.Bee","Andrena","F",1,3125,50,156250,"",6.4e-06,NA,34,500,14.70588235,"","","North.GarristownPasture2","North.GarristownPasture2May","Low","Agri Low","bees"
"1069",1069,"North.Garristown",14,"Pasture2","May","Agri","6.5.18","Y","N",NA,1513,6,5,18,2,"6.5.18","Cian White","GA1",1,"NG","GA1NG",706574,761637,NA,NA,"Taraxacum.agg","Diptera","O","Diptera",NA,"F",1,3125,50,156250,"",6.4e-06,NA,34,500,14.70588235,"","","North.GarristownPasture2","North.GarristownPasture2May","Low","Agri Low",NA
"1070",1070,"North.Garristown",14,"Pasture2","May","Agri","6.5.18","Y","N",NA,1515,6,5,18,2,"6.5.18","Cian White","GA1",1,"NG","GA1NG",706574,761637,NA,NA,"Taraxacum.agg","Bombus.pascorum","O","Bumble.Bee","Bombus","F",1,3125,50,156250,"",6.4e-06,NA,34,500,14.70588235,"","","North.GarristownPasture2","North.GarristownPasture2May","Low","Agri Low","bees"
"1071",1071,"North.Garristown",14,"Pasture2","May","Agri","6.5.18","Y","Y",20180746,1516,6,5,18,2,"6.5.18","Cian White","GA1",1,"NG","GA1NG",706574,761637,NA,NA,"Taraxacum.agg","Platycheirus.albimanus","Y","Syrphid","Platycheirus","1M",4,3125,50,156250,"",2.56e-05,NA,34,500,14.70588235,"","","North.GarristownPasture2","North.GarristownPasture2May","Low","Agri Low",NA
"1072",1072,"North.Garristown",14,"Pasture2","May","Agri","6.5.18","Y","Y",20180747,1517,6,5,18,2,"6.5.18","Cian White","GA1",1,"NG","GA1NG",706574,761637,NA,NA,"Taraxacum.agg","Rhingia.campestris","Y","Syrphid","Rhingia","M",1,3125,50,156250,"",6.4e-06,NA,34,500,14.70588235,"","","North.GarristownPasture2","North.GarristownPasture2May","Low","Agri Low",NA
"1073",1073,"North.Garristown",14,"Pasture2","May","Agri","6.5.18","Y","Y",20180751,1522,6,5,18,2,"6.5.18","Cian White","GA1",1,"NG","GA1NG",706574,761637,NA,NA,"Sallix.spp","Platycheirus.albimanus","Y","Syrphid","Platycheirus","F",1,200,40,8000,"",0.000125,NA,34,500,14.70588235,"","","North.GarristownPasture2","North.GarristownPasture2May","Low","Agri Low",NA
"1074",1074,"North.Garristown",14,"Pasture2","May","Agri","6.5.18","Y","Y",20180752,1523,6,5,18,2,"6.5.18","Cian White","GA1",1,"NG","GA1NG",706574,761637,NA,NA,"Ranunculus.repens","Melanostoma.scalare","Y","Syrphid","Melanostoma","F",1,60,30,1800,"",0.000555556,NA,34,500,14.70588235,"","","North.GarristownPasture2","North.GarristownPasture2May","Low","Agri Low",NA
"1075",1075,"North.Garristown",14,"Pasture2","May","Agri","6.5.18","Y","N",NA,1524,6,5,18,2,"6.5.18","Cian White","GA1",1,"NG","GA1NG",706574,761637,NA,NA,"Ranunculus.repens","Diptera","O","Diptera",NA,"F",1,60,30,1800,"",0.000555556,NA,34,500,14.70588235,"","","North.GarristownPasture2","North.GarristownPasture2May","Low","Agri Low",NA
"1076",1076,"North.Garristown",14,"Arable","May","Agri","6.5.18","Y","Y",20180753,1525,6,5,18,2,"6.5.18","Cian White","GA1",1,"NG","GA1NG",706574,761637,NA,NA,"Stellaria.media","Platycheirus.albimanus","Y","Syrphid","Platycheirus","F",1,40,10,400,"",0.0025,NA,5,40,8,"","","North.GarristownArable","North.GarristownArableMay","Low","Agri Low",NA
"1077",1077,"North.Garristown",14,"Arable","May","Agri","6.5.18","Y","N",NA,1526,6,5,18,2,"6.5.18","Cian White","GA1",1,"NG","GA1NG",706574,761637,NA,NA,"Taraxacum.agg","Diptera","O","Diptera",NA,"F",1,15,50,750,"",0.001333333,NA,5,40,8,"","","North.GarristownArable","North.GarristownArableMay","Low","Agri Low",NA
"1078",1078,"North.Garristown",14,"Arable","May","Agri","6.5.18","Y","N",NA,1527,6,5,18,2,"6.5.18","Cian White","GA1",1,"NG","GA1NG",706574,761637,NA,NA,"Taraxacum.agg","Small.Tortishell","O","Lepidoptera",NA,"F",1,15,50,750,"",0.001333333,NA,5,40,8,"","","North.GarristownArable","North.GarristownArableMay","Low","Agri Low",NA
"1079",1079,"North.Garristown",14,"Pasture3","May","Agri","6.5.18","Y","N",NA,1529,6,5,18,2,"6.5.18","Cian White","GA1",1,"NG","GA1NG",706574,761637,NA,NA,"Taraxacum.agg","Diptera","O","Diptera",NA,"F",6,175,50,8750,"",0.000685714,NA,17,500,29.41176471,"","","North.GarristownPasture3","North.GarristownPasture3May","Low","Agri Low",NA
"1080",1080,"North.Garristown",14,"Pasture3","May","Agri","6.5.18","Y","N",NA,1532,6,5,18,2,"6.5.18","Cian White","GA1",1,"NG","GA1NG",706574,761637,NA,NA,"Bellis.perennis","Diptera","O","Diptera",NA,"F",1,375,25,9375,"",0.000106667,NA,17,500,29.41176471,"","","North.GarristownPasture3","North.GarristownPasture3May","Low","Agri Low",NA
"1081",1081,"North.Garristown",14,"Dis.Low","May","Agri","6.5.18","Y","N",NA,1533,6,5,18,2,"6.5.18","Cian White","GA2",1,"NG","GA2NG",706574,761637,NA,NA,"Taraxacum.agg","Diptera","O","Diptera",NA,"F",1,20,50,1000,"",0.001,NA,3,40,13.33333333,"","","North.GarristownDis.Low","North.GarristownDis.LowMay","Low","Agri Low",NA
"1082",1082,"North.Garristown",14,"Dis.Medium","May","Agri","6.5.18","N",NA,NA,1534,6,5,18,2,"6.5.18","Cian White","GA1",1,"NG","GA1NG",706574,761637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,40,20,"","","North.GarristownDis.Medium","North.GarristownDis.MediumMay","Low","Agri Low",NA
"1083",1083,"North.Garristown",14,"Other.Roads","May","Agri","6.5.18","Y",NA,NA,1535,6,5,18,2,"6.5.18","Cian White","WL1",1,"NG","WL1NG",706574,761637,NA,NA,"Ficaria.verna","Diptera","O","Diptera",NA,"F",1,200,30,6000,"",0.000166667,NA,2,40,20,"","","North.GarristownOther.Roads","North.GarristownOther.RoadsMay","Low","Agri Low",NA
"1084",1084,"North.Garristown",14,"Forest","May","Agri","6.5.18","N",NA,NA,1536,6,5,18,2,"6.5.18","Cian White","WD1",1,"NG","WD1NG",706574,761637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,80,26.66666667,"","","North.GarristownForest","North.GarristownForestMay","Low","Agri Low",NA
"1085",1085,"North.Garristown",14,"Hedge","May","Agri","6.5.18","Y","Y",20180754,1539,6,5,18,2,"6.5.18","Cian White","WL1",1,"NG","WL1NG",706574,761637,NA,NA,"Taraxacum.agg","Melanostoma.scalare","Y","Syrphid","Melanostoma","F",1,10,50,500,"",0.002,NA,10,200,20,"","","North.GarristownHedge","North.GarristownHedgeMay","Low","Agri Low",NA
"1086",1086,"North.Garristown",14,"Hedge","May","Agri","6.5.18","Y","Y",20180755,1540,6,5,18,2,"6.5.18","Cian White","WL1",1,"NG","WL1NG",706574,761637,NA,NA,"Vicia.sepium","Bombus.pascorum","Y","Bumble.Bee","Bombus","F",1,40,34,1360,"",0.000735294,NA,10,200,20,"","","North.GarristownHedge","North.GarristownHedgeMay","Low","Agri Low","bees"
"1087",1087,"North.Garristown",14,"Hedge","May","Agri","6.5.18","Y","Y",20180756,1541,6,5,18,2,"6.5.18","Cian White","WL1",1,"NG","WL1NG",706574,761637,NA,NA,"Allium.triquetrum","Platycheirus.albimanus","Y","Syrphid","Platycheirus","M",1,2400,18,43200,"",2.31e-05,NA,10,200,20,"","","North.GarristownHedge","North.GarristownHedgeMay","Low","Agri Low",NA
"1088",1088,"Ballyboughal",19,"Other.Roads","May","Agri","7.5.18","Y","Y",20180757,1543,7,5,18,2,"7.5.18","Cian White","GS2",1,"Bl","GS2Bl",713914,754082,NA,NA,"Anthriscus.sylvestris","Andrena.scotica","Y","Solitary.Bee","Andrena","M",1,150,70,10500,"",9.52e-05,NA,3,20,6.666666667,"","","BallyboughalOther.Roads","BallyboughalOther.RoadsMay","High","Agri High","bees"
"1089",1089,"Ballyboughal",19,"Other.Roads","May","Agri","7.5.18","Y","N",20181053,1544,7,5,18,2,"7.5.18","Cian White","GS2",1,"Bl","GS2Bl",713914,754082,NA,NA,"Vicia.sepium","Eupeodes.luniger","Y","Syrphid","Eupeodes","F",1,144,34,4896,"",0.000204248,NA,3,20,6.666666667,"","","BallyboughalOther.Roads","BallyboughalOther.RoadsMay","High","Agri High",NA
"1090",1090,"Ballyboughal",19,"Dis.Low","May","Agri","7.5.18","N",NA,NA,1545,7,5,18,2,"7.5.18","Cian White","GA2",1,"Bl","GA2Bl",713914,754082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,10,"","","BallyboughalDis.Low","BallyboughalDis.LowMay","High","Agri High",NA
"1091",1091,"Ballyboughal",19,"Hedge","May","Agri","7.5.18","Y","N",NA,1546,7,5,18,2,"7.5.18","Cian White","WL1",1,"Bl","WL1Bl",713914,754082,NA,NA,"Vicia.sepium","Bombus.terrestris","O","Bumble.Bee","Bombus","F",1,1200,34,40800,"",2.45e-05,NA,3,60,20,"","","BallyboughalHedge","BallyboughalHedgeMay","High","Agri High","bees"
"1092",1092,"Ballyboughal",19,"Isolated.Structure","May","Agri","7.5.18","N",NA,NA,1547,7,5,18,2,"7.5.18","Cian White","GA2",1,"Bl","GA2Bl",713914,754082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,40,20,"","","BallyboughalIsolated.Structure","BallyboughalIsolated.StructureMay","High","Agri High",NA
"1093",1093,"Ballyboughal",19,"Industrial","May","Agri","7.5.18","Y","N",NA,1548,7,5,18,2,"7.5.18","Cian White","GS2",1,"Bl","GS2Bl",713914,754082,NA,NA,"Taraxacum.agg","Diptera","O","Diptera",NA,"F",2,40,50,2000,"",0.001,NA,10,60,6,"","","BallyboughalIndustrial","BallyboughalIndustrialMay","High","Agri High",NA
"1094",1094,"Ballyboughal",19,"Industrial","May","Agri","7.5.18","Y","N",NA,1549,7,5,18,2,"7.5.18","Cian White","GS2",1,"Bl","GS2Bl",713914,754082,NA,NA,"Ranunculus.repens","Diptera","O","Diptera",NA,"F",1,20,30,600,"",0.001666667,NA,10,60,6,"","","BallyboughalIndustrial","BallyboughalIndustrialMay","High","Agri High",NA
"1095",1095,"Ballyboughal",19,"Industrial","May","Agri","7.5.18","Y","Y",20180758,1551,7,5,18,2,"7.5.18","Cian White","GS2",1,"Bl","GS2Bl",713914,754082,NA,NA,"Taraxacum.agg","Melanostoma.scalare","Y","Syrphid","Melanostoma","M",1,40,50,2000,"",5e-04,NA,10,60,6,"","","BallyboughalIndustrial","BallyboughalIndustrialMay","High","Agri High",NA
"1096",1096,"Ballyboughal",19,"Pasture1","May","Agri","7.5.18","N",NA,NA,1552,7,5,18,2,"7.5.18","Cian White","BC1",1,"Bl","BC1Bl",713914,754082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,500,31.25,"","","BallyboughalPasture1","BallyboughalPasture1May","High","Agri High",NA
"1097",1097,"Ballyboughal",19,"Dis.Dense","May","Agri","7.5.18","Y","Y",20180759,1553,7,5,18,2,"7.5.18","Cian White","GA2",1,"Bl","GA2Bl",713914,754082,NA,NA,"Taraxacum.agg","Melanostoma.scalare","Y","Syrphid","Melanostoma","F",1,5,50,250,"",0.004,NA,5,60,12,"","","BallyboughalDis.Dense","BallyboughalDis.DenseMay","High","Agri High",NA
"1098",1098,"Ballyboughal",19,"Pasture2","May","Agri","7.5.18","N",NA,NA,1554,7,5,18,2,"7.5.18","Cian White","BC1",1,"Bl","BC1Bl",713914,754082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,500,50,"","","BallyboughalPasture2","BallyboughalPasture2May","High","Agri High",NA
"1099",1099,"Ballyboughal",19,"Arable","May","Agri","7.5.18","N",NA,NA,1555,7,5,18,2,"7.5.18","Cian White","BC1",1,"Bl","BC1Bl",713914,754082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,404,40.4,"","","BallyboughalArable","BallyboughalArableMay","High","Agri High",NA
"1100",1100,"Ballyboughal",19,"Pasture(117)","May","Agri","7.5.18","N",NA,NA,1556,7,5,18,2,"7.5.18","Cian White","GA1",1,"Bl","GA1Bl",713914,754082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,234,33.42857143,"","","BallyboughalPasture(117)","BallyboughalPasture(117)May","High","Agri High",NA
"1101",1101,"West.Dunboyne",15,"Pasture1","May","Agri","7.5.18","Y","Y",20180760,1557,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Taraxacum.agg","Rhingia.campestris","Y","Syrphid","Rhingia","M",1,3400,50,170000,"",5.88e-06,NA,49,500,10.20408163,"","","West.DunboynePasture1","West.DunboynePasture1May","Low","Agri Low",NA
"1102",1102,"West.Dunboyne",15,"Pasture1","May","Agri","7.5.18","Y","N",NA,1558,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Taraxacum.agg","Andrena.haemorrhea","O","Solitary.Bee","Andrena","1M",5,3400,50,170000,"",2.94e-05,NA,49,500,10.20408163,"","","West.DunboynePasture1","West.DunboynePasture1May","Low","Agri Low","bees"
"1103",1103,"West.Dunboyne",15,"Pasture1","May","Agri","7.5.18","Y","N",NA,1561,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Cardamine.pratensis","Diptera","O","Diptera",NA,"F",5,1425,20,28500,"",0.000175439,NA,49,500,10.20408163,"","","West.DunboynePasture1","West.DunboynePasture1May","Low","Agri Low",NA
"1104",1104,"West.Dunboyne",15,"Pasture1","May","Agri","7.5.18","Y","Y",20180762,1562,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Cardamine.pratensis","Platycheirus.albimanus","Y","Syrphid","Platycheirus","F",1,1425,20,28500,"",3.51e-05,NA,49,500,10.20408163,"","","West.DunboynePasture1","West.DunboynePasture1May","Low","Agri Low",NA
"1105",1105,"West.Dunboyne",15,"Pasture1","May","Agri","7.5.18","Y","N",NA,1563,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Taraxacum.agg","Diptera","O","Diptera",NA,"F",15,3400,50,170000,"",8.82e-05,NA,49,500,10.20408163,"","","West.DunboynePasture1","West.DunboynePasture1May","Low","Agri Low",NA
"1106",1106,"West.Dunboyne",15,"Pasture1","May","Agri","7.5.18","Y","N",NA,1565,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Ranunculus.repens","Diptera","O","Diptera",NA,"F",3,38,30,1140,"",0.002631579,NA,49,500,10.20408163,"","","West.DunboynePasture1","West.DunboynePasture1May","Low","Agri Low",NA
"1107",1107,"West.Dunboyne",15,"Pasture1","May","Agri","7.5.18","Y","Y",20180763,1567,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Cardamine.pratensis","Platycheirus.albimanus","Y","Syrphid","Platycheirus","F",3,1425,20,28500,"",0.000105263,NA,49,500,10.20408163,"","","West.DunboynePasture1","West.DunboynePasture1May","Low","Agri Low",NA
"1108",1108,"West.Dunboyne",15,"Pasture1","May","Agri","7.5.18","Y","Y",20180764,1568,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Cardamine.pratensis","Melanostoma.mellinum","Y","Syrphid","Melanostoma","1M",2,1425,20,28500,"",7.02e-05,NA,49,500,10.20408163,"","","West.DunboynePasture1","West.DunboynePasture1May","Low","Agri Low",NA
"1109",1109,"West.Dunboyne",15,"Pasture1","May","Agri","7.5.18","Y","Y",20180770,1574,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Taraxacum.agg","Platycheirus.albimanus","Y","Syrphid","Platycheirus","M",1,3400,50,170000,"",5.88e-06,NA,49,500,10.20408163,"","","West.DunboynePasture1","West.DunboynePasture1May","Low","Agri Low",NA
"1110",1110,"West.Dunboyne",15,"Pasture1","May","Agri","7.5.18","Y","N",NA,1575,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Bellis.perennis","Diptera","O","Diptera",NA,"F",1,1750,25,43750,"",2.29e-05,NA,49,500,10.20408163,"","","West.DunboynePasture1","West.DunboynePasture1May","Low","Agri Low",NA
"1111",1111,"West.Dunboyne",15,"Pasture1","May","Agri","7.5.18","Y","Y",20180771,1576,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Taraxacum.agg","Andrena.lapponica","Y","Solitary.Bee","Andrena","M",1,3400,50,170000,"",5.88e-06,NA,49,500,10.20408163,"","","West.DunboynePasture1","West.DunboynePasture1May","Low","Agri Low","bees"
"1112",1112,"West.Dunboyne",15,"Pasture1","May","Agri","7.5.18","Y","Y",20180772,1577,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Taraxacum.agg","Eristalis.pertinax","Y","Syrphid","Eristalis","M",1,3400,50,170000,"",5.88e-06,NA,49,500,10.20408163,"","","West.DunboynePasture1","West.DunboynePasture1May","Low","Agri Low",NA
"1113",1113,"West.Dunboyne",15,"Pasture1","May","Agri","7.5.18","Y","Y",20180773,1578,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Taraxacum.agg","Eristalis.arbustorum","Y","Syrphid","Eristalis","M",1,3400,50,170000,"",5.88e-06,NA,49,500,10.20408163,"","","West.DunboynePasture1","West.DunboynePasture1May","Low","Agri Low",NA
"1114",1114,"West.Dunboyne",15,"Isolated.Structure","May","Agri","7.5.18","Y","N",NA,1579,7,5,18,2,"7.5.18","Cian White","BC4",1,"WD","BC4WD",693185,747170,NA,NA,"Taraxacum.agg","Diptera","O","Diptera",NA,"F",1,20,50,1000,"",0.001,NA,3,40,13.33333333,"","","West.DunboyneIsolated.Structure","West.DunboyneIsolated.StructureMay","Low","Agri Low",NA
"1115",1115,"West.Dunboyne",15,"Pasture(146)","May","Agri","7.5.18","Y","Y",20180774,1581,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Cardamine.pratensis","Platycheirus.manicatus","Y","Syrphid","Platycheirus","F",1,98,20,1960,"",0.000510204,NA,10,292,29.2,"","","West.DunboynePasture(146)","West.DunboynePasture(146)May","Low","Agri Low",NA
"1116",1116,"West.Dunboyne",15,"Pasture(146)","May","Agri","7.5.18","Y","Y",20180775,1582,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Cardamine.pratensis","Melanostoma.scalare","Y","Syrphid","Melanostoma","M",3,98,20,1960,"",0.001530612,NA,10,292,29.2,"","","West.DunboynePasture(146)","West.DunboynePasture(146)May","Low","Agri Low",NA
"1117",1117,"West.Dunboyne",15,"Pasture(146)","May","Agri","7.5.18","Y","Y",20181054,1582,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Cardamine.pratensis","Platycheirus.albimanus","Y","Syrphid","Platycheirus","F",3,98,20,1960,"",0.001530612,NA,10,292,29.2,"","","West.DunboynePasture(146)","West.DunboynePasture(146)May","Low","Agri Low",NA
"1118",1118,"West.Dunboyne",15,"Pasture2","May","Agri","7.5.18","Y","Y",20180776,1583,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Cardamine.pratensis","Platycheirus.albimanus","Y","Syrphid","Platycheirus","M",11,4075,20,81500,"",0.000134969,NA,37,500,13.51351351,"","","West.DunboynePasture2","West.DunboynePasture2May","Low","Agri Low",NA
"1119",1119,"West.Dunboyne",15,"Pasture2","May","Agri","7.5.18","Y","Y",20180777,1584,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Cardamine.pratensis","Heliophilus.pendulus","Y","Syrphid","Heliophilus","F",2,4075,20,81500,"",2.45e-05,NA,37,500,13.51351351,"","","West.DunboynePasture2","West.DunboynePasture2May","Low","Agri Low",NA
"1120",1120,"West.Dunboyne",15,"Pasture2","May","Agri","7.5.18","Y","Y",20180778,1585,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Cardamine.pratensis","Rhingia.campestris","Y","Syrphid","Rhingia","5M",9,4075,20,81500,"",0.000110429,NA,37,500,13.51351351,"","","West.DunboynePasture2","West.DunboynePasture2May","Low","Agri Low",NA
"1121",1121,"West.Dunboyne",15,"Pasture2","May","Agri","7.5.18","Y","Y",20180784,1592,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Cardamine.pratensis","Melanostoma.mellinum","Y","Syrphid","Melanostoma","M",1,4075,20,81500,"",1.23e-05,NA,37,500,13.51351351,"","","West.DunboynePasture2","West.DunboynePasture2May","Low","Agri Low",NA
"1122",1122,"West.Dunboyne",15,"Pasture3","May","Agri","7.5.18","Y","Y",20180787,1597,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Taraxacum.agg","Platycheirus.albimanus","Y","Syrphid","Platycheirus","F",4,25,50,1250,"",0.0032,NA,23,500,21.73913043,"","","West.DunboynePasture3","West.DunboynePasture3May","Low","Agri Low",NA
"1123",1123,"West.Dunboyne",15,"Pasture3","May","Agri","7.5.18","Y","N",NA,1601,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Ranunculus.repens","Diptera","O","Diptera",NA,"F",1,20,30,600,"",0.001666667,NA,23,500,21.73913043,"","","West.DunboynePasture3","West.DunboynePasture3May","Low","Agri Low",NA
"1124",1124,"West.Dunboyne",15,"Pasture3","May","Agri","7.5.18","Y","Y",20180790,1602,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Cardamine.pratensis","Platycheirus.albimanus","Y","Syrphid","Platycheirus","F",1,500,20,10000,"",1e-04,NA,23,500,21.73913043,"","","West.DunboynePasture3","West.DunboynePasture3May","Low","Agri Low",NA
"1125",1125,"West.Dunboyne",15,"Pasture3","May","Agri","7.5.18","Y","Y",20180791,1604,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Cardamine.pratensis","Neoascia.podagrica","Y","Syrphid","Neoascia","F",4,500,20,10000,"",4e-04,NA,23,500,21.73913043,"","","West.DunboynePasture3","West.DunboynePasture3May","Low","Agri Low",NA
"1126",1126,"West.Dunboyne",15,"Pasture3","May","Agri","7.5.18","Y","N",NA,1608,7,5,18,2,"7.5.18","Cian White","GA1",1,"WD","GA1WD",693185,747170,NA,NA,"Taraxacum.agg","Diptera","O","Diptera",NA,"F",1,25,50,1250,"",8e-04,NA,23,500,21.73913043,"","","West.DunboynePasture3","West.DunboynePasture3May","Low","Agri Low",NA
"1127",1127,"West.Dunboyne",15,"Hedge","May","Agri","7.5.18","Y","Y",20180795,1609,7,5,18,2,"7.5.18","Cian White","WL1",1,"WD","WL1WD",693185,747170,NA,NA,"Vicia.sepium","Rhingia.campestris","Y","Syrphid","Rhingia","F",1,100,34,3400,"",0.000294118,NA,15,160,10.66666667,"","","West.DunboyneHedge","West.DunboyneHedgeMay","Low","Agri Low",NA
"1128",1128,"West.Dunboyne",15,"Hedge","May","Agri","7.5.18","Y","Y",20180796,1610,7,5,18,2,"7.5.18","Cian White","WL1",1,"WD","WL1WD",693185,747170,NA,NA,"Anthriscus.sylvestris","Melanostoma.scalare","Y","Syrphid","Melanostoma","F",1,250,70,17500,"",5.71e-05,NA,15,160,10.66666667,"","","West.DunboyneHedge","West.DunboyneHedgeMay","Low","Agri Low",NA
"1129",1129,"West.Dunboyne",15,"Hedge","May","Agri","7.5.18","Y","Y",20180797,1612,7,5,18,2,"7.5.18","Cian White","WL1",1,"WD","WL1WD",693185,747170,NA,NA,"Taraxacum.agg","Melanostoma.scalare","Y","Syrphid","Melanostoma","M",1,6,50,300,"",0.003333333,NA,15,160,10.66666667,"","","West.DunboyneHedge","West.DunboyneHedgeMay","Low","Agri Low",NA
